NAMA,KELAS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,TOTAL_NILAI,REKOMENDASI_MATERI
Siswa_Gen_14,Kelas 3,A,B,C,D,A,D,D,D,A,B,C,D,A,B,C,D,D,B,C,D,A,B,C,D,100.0,50.0,100.0,100.0,75.0,100.0,87.5,Materi 2: Perkalian Bersusun
Siswa_Gen_15,Kelas 3,A,B,C,B,A,B,C,B,A,B,C,D,B,B,C,D,A,B,C,D,A,B,C,D,75.0,75.0,100.0,75.0,100.0,100.0,87.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_16,Kelas 3,A,D,A,D,A,B,C,A,A,B,B,A,A,D,C,A,D,B,C,B,A,B,C,D,50.0,75.0,50.0,50.0,50.0,100.0,62.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_17,Kelas 3,C,A,C,D,A,B,C,D,A,B,C,D,A,B,C,D,D,C,D,B,D,B,C,D,50.0,100.0,100.0,100.0,0.0,75.0,70.83,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_18,Kelas 3,B,B,C,D,B,B,C,D,A,C,C,A,C,D,C,B,A,B,D,C,B,A,A,C,75.0,75.0,50.0,25.0,50.0,0.0,45.83,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_19,Kelas 3,B,A,A,B,B,B,C,D,A,B,C,C,A,B,B,A,A,B,D,A,A,B,B,A,0.0,75.0,75.0,50.0,50.0,50.0,50.0,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_20,Kelas 3,A,B,C,D,D,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,100.0,75.0,100.0,100.0,100.0,100.0,95.83,Materi 2: Perkalian Bersusun
Siswa_Gen_21,Kelas 3,A,B,C,D,A,B,C,D,C,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,100.0,100.0,75.0,100.0,100.0,100.0,95.83,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_22,Kelas 3,A,B,C,D,B,A,A,D,A,A,C,D,D,D,A,D,A,B,C,A,A,B,C,D,100.0,25.0,75.0,25.0,75.0,100.0,66.67,Materi 2: Perkalian Bersusun
Siswa_Gen_23,Kelas 3,A,B,C,D,A,C,C,D,A,B,C,D,A,B,C,D,A,B,A,D,A,B,C,D,100.0,75.0,100.0,100.0,75.0,100.0,91.67,Materi 2: Perkalian Bersusun
Siswa_Gen_24,Kelas 3,A,B,C,D,D,A,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,D,A,B,100.0,50.0,100.0,100.0,100.0,25.0,79.17,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_25,Kelas 3,A,B,A,C,C,C,D,D,A,D,C,C,D,B,C,B,D,B,C,C,B,B,D,D,50.0,25.0,50.0,50.0,50.0,50.0,45.83,Materi 2: Perkalian Bersusun
Siswa_Gen_26,Kelas 3,A,B,C,D,C,C,B,C,A,B,C,D,A,B,C,D,A,B,C,A,A,B,C,D,100.0,0.0,100.0,100.0,75.0,100.0,79.17,Materi 2: Perkalian Bersusun
Siswa_Gen_27,Kelas 3,A,B,C,D,A,B,C,D,D,B,B,B,A,B,C,D,A,B,C,D,C,B,C,D,100.0,100.0,25.0,100.0,100.0,75.0,83.33,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_28,Kelas 3,D,A,C,D,A,B,C,A,A,B,D,D,D,B,A,B,D,A,C,D,A,B,C,D,50.0,75.0,75.0,25.0,50.0,100.0,62.5,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_29,Kelas 3,A,D,C,D,A,C,C,D,A,B,C,D,A,B,C,D,C,A,D,C,A,B,C,D,75.0,75.0,100.0,100.0,0.0,100.0,75.0,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_30,Kelas 3,A,B,C,D,A,B,B,D,A,B,C,D,D,C,C,D,A,B,C,D,C,D,C,C,100.0,75.0,100.0,50.0,100.0,25.0,75.0,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_31,Kelas 3,A,C,A,B,A,B,C,C,C,B,C,D,A,B,C,A,A,D,C,D,A,C,C,D,25.0,75.0,75.0,75.0,75.0,75.0,66.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_32,Kelas 3,A,B,C,D,A,B,C,C,A,B,C,D,A,C,C,D,A,B,C,D,A,B,C,B,100.0,75.0,100.0,75.0,100.0,75.0,87.5,Materi 2: Perkalian Bersusun
Siswa_Gen_33,Kelas 3,D,B,C,D,A,B,A,A,A,B,D,B,D,B,C,A,A,B,C,D,A,B,A,C,75.0,50.0,50.0,50.0,100.0,50.0,62.5,Materi 2: Perkalian Bersusun
Siswa_Gen_34,Kelas 3,A,C,B,D,A,B,B,A,A,C,D,D,B,B,A,A,B,B,C,D,B,B,C,D,50.0,50.0,50.0,25.0,75.0,75.0,54.17,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_35,Kelas 3,A,B,A,B,D,B,C,C,D,C,D,D,C,D,C,A,D,C,B,B,D,B,B,D,50.0,50.0,25.0,25.0,0.0,50.0,33.33,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_36,Kelas 3,D,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,D,B,B,D,75.0,100.0,100.0,100.0,100.0,50.0,87.5,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_37,Kelas 3,B,C,D,B,C,B,C,A,B,B,C,D,A,B,C,D,A,D,C,D,C,B,B,D,0.0,50.0,75.0,100.0,75.0,50.0,58.33,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_38,Kelas 3,A,C,C,D,B,B,A,D,A,B,C,D,A,B,C,D,C,B,B,D,A,B,C,D,75.0,50.0,100.0,100.0,50.0,100.0,79.17,Materi 2: Perkalian Bersusun
Siswa_Gen_39,Kelas 3,A,A,C,C,A,B,C,D,A,B,B,B,A,A,C,D,A,B,C,B,D,C,B,D,50.0,100.0,50.0,75.0,75.0,25.0,62.5,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_40,Kelas 3,A,B,C,D,B,B,C,D,A,D,C,A,C,D,C,B,A,B,C,D,A,B,C,D,100.0,75.0,50.0,25.0,100.0,100.0,75.0,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_41,Kelas 3,A,D,A,D,C,B,A,A,C,D,B,D,D,D,C,D,A,A,D,B,B,C,D,A,50.0,25.0,25.0,50.0,25.0,0.0,29.17,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_42,Kelas 3,C,A,C,D,D,D,C,D,A,D,C,C,D,D,B,B,C,B,C,A,B,A,A,B,50.0,50.0,50.0,0.0,50.0,0.0,33.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_43,Kelas 3,A,B,C,C,D,B,C,D,A,B,C,D,A,B,B,D,A,B,C,D,A,A,C,C,75.0,75.0,100.0,75.0,100.0,50.0,79.17,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_44,Kelas 3,A,B,C,D,A,A,D,D,D,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,100.0,50.0,75.0,100.0,100.0,100.0,87.5,Materi 2: Perkalian Bersusun
Siswa_Gen_45,Kelas 3,A,D,C,D,A,B,C,D,C,B,D,D,B,C,C,D,A,C,C,D,A,D,C,D,75.0,100.0,50.0,50.0,75.0,75.0,70.83,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_46,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,C,B,B,B,A,B,C,C,A,B,C,D,100.0,100.0,100.0,25.0,75.0,100.0,83.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_47,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,B,B,C,B,A,B,C,D,100.0,100.0,100.0,100.0,50.0,100.0,91.67,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_48,Kelas 3,C,B,D,B,B,B,C,A,D,B,C,A,A,B,C,D,A,A,D,D,C,A,B,D,25.0,50.0,50.0,100.0,50.0,25.0,50.0,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_49,Kelas 3,B,B,C,B,A,B,C,D,A,B,C,C,A,B,C,D,A,B,C,D,A,B,C,D,50.0,100.0,75.0,100.0,100.0,100.0,87.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_50,Kelas 3,A,D,C,B,B,A,C,C,A,D,A,D,A,C,B,D,B,B,B,B,A,D,D,C,50.0,25.0,50.0,50.0,25.0,25.0,37.5,Materi 2: Perkalian Bersusun
Siswa_Gen_51,Kelas 3,A,D,C,D,A,B,C,D,D,A,A,B,B,C,D,D,B,B,A,C,A,B,C,C,75.0,100.0,0.0,25.0,25.0,75.0,50.0,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_52,Kelas 3,A,B,C,A,C,B,C,D,A,B,C,D,D,D,B,A,A,C,C,D,A,B,C,D,75.0,75.0,100.0,0.0,75.0,100.0,70.83,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_53,Kelas 3,A,C,C,D,D,C,A,D,C,B,C,B,A,B,C,D,A,B,D,C,A,C,C,D,75.0,25.0,50.0,100.0,50.0,75.0,62.5,Materi 2: Perkalian Bersusun
Siswa_Gen_54,Kelas 3,A,B,A,D,A,B,C,C,A,B,C,D,D,A,C,D,A,B,C,D,A,B,C,D,75.0,75.0,100.0,50.0,100.0,100.0,83.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_55,Kelas 3,C,A,B,C,A,B,C,D,A,C,B,D,A,B,A,D,A,B,A,A,B,B,D,C,0.0,100.0,50.0,75.0,50.0,25.0,50.0,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_56,Kelas 3,A,B,C,D,B,C,C,C,A,D,C,D,A,D,C,B,A,A,A,C,D,B,B,D,100.0,25.0,75.0,50.0,25.0,50.0,54.17,Materi 2: Perkalian Bersusun
Siswa_Gen_57,Kelas 3,A,B,C,D,A,B,A,B,B,A,C,A,C,B,C,D,D,C,C,A,A,B,A,C,100.0,50.0,25.0,75.0,25.0,50.0,54.17,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_58,Kelas 3,A,B,A,D,D,B,C,A,A,B,C,A,A,B,C,D,B,B,C,D,C,B,A,C,75.0,50.0,75.0,100.0,75.0,25.0,66.67,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_59,Kelas 3,B,B,C,D,A,B,C,D,A,B,C,A,A,B,C,D,A,B,C,A,A,B,C,D,75.0,100.0,75.0,100.0,75.0,100.0,87.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_60,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,C,B,A,D,A,B,C,D,A,B,C,A,100.0,100.0,100.0,50.0,100.0,75.0,87.5,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_61,Kelas 3,C,D,B,C,B,B,C,C,A,B,B,C,B,D,A,C,B,C,C,D,D,B,B,C,0.0,50.0,50.0,0.0,50.0,25.0,29.17,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_62,Kelas 3,A,A,C,D,A,C,D,B,A,B,C,D,C,B,C,D,D,B,C,D,A,B,C,D,75.0,25.0,100.0,75.0,75.0,100.0,75.0,Materi 2: Perkalian Bersusun
Siswa_Gen_63,Kelas 3,A,B,C,A,A,D,C,D,B,C,D,B,A,B,C,D,A,B,C,D,C,B,C,D,75.0,75.0,0.0,100.0,100.0,75.0,70.83,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_64,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,D,D,D,D,A,B,D,D,A,B,C,D,100.0,100.0,100.0,25.0,75.0,100.0,83.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_65,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,A,C,C,D,A,C,A,D,A,A,A,D,100.0,100.0,100.0,75.0,50.0,50.0,79.17,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_66,Kelas 3,A,C,D,D,C,D,C,B,C,D,C,D,A,C,C,D,A,A,C,C,D,A,B,A,50.0,25.0,50.0,75.0,50.0,0.0,41.67,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_67,Kelas 3,C,C,B,D,D,B,C,D,A,B,D,D,A,C,A,B,A,A,C,D,A,D,C,D,25.0,75.0,75.0,25.0,75.0,75.0,58.33,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_68,Kelas 3,A,B,B,D,A,B,B,D,B,C,C,D,C,B,C,A,A,C,C,C,A,B,B,D,75.0,75.0,50.0,50.0,50.0,75.0,62.5,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_69,Kelas 3,D,B,D,C,C,C,C,A,B,C,D,B,C,B,B,B,B,C,C,B,A,B,D,C,25.0,25.0,0.0,25.0,25.0,50.0,25.0,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_70,Kelas 3,A,B,B,D,C,A,C,D,A,B,C,C,A,B,D,D,D,B,C,D,A,B,C,D,75.0,50.0,75.0,75.0,75.0,100.0,75.0,Materi 2: Perkalian Bersusun
Siswa_Gen_71,Kelas 3,A,B,A,B,A,B,C,D,A,B,C,C,A,D,C,D,A,B,A,D,A,A,C,D,50.0,100.0,75.0,75.0,75.0,75.0,75.0,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_72,Kelas 3,C,C,C,D,D,A,A,C,B,C,C,D,A,B,C,A,A,B,A,D,D,A,B,C,50.0,0.0,50.0,75.0,75.0,0.0,41.67,Materi 2: Perkalian Bersusun
Siswa_Gen_73,Kelas 3,A,A,B,D,A,B,C,D,A,B,C,D,A,B,C,D,A,D,C,D,A,B,C,D,50.0,100.0,100.0,100.0,75.0,100.0,87.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_74,Kelas 3,A,B,C,C,B,D,B,B,A,A,C,A,D,B,C,D,A,A,C,D,C,C,D,A,75.0,0.0,50.0,75.0,75.0,0.0,45.83,Materi 2: Perkalian Bersusun
Siswa_Gen_75,Kelas 3,A,B,C,D,A,B,A,D,C,D,C,A,A,B,C,D,A,B,C,D,A,B,C,C,100.0,75.0,25.0,100.0,100.0,75.0,79.17,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_76,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,C,D,B,A,C,D,B,C,D,A,A,C,D,100.0,100.0,75.0,25.0,75.0,75.0,75.0,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_77,Kelas 3,A,B,D,B,D,A,C,A,A,B,C,D,D,B,D,B,C,D,A,D,A,D,B,A,50.0,25.0,100.0,25.0,25.0,25.0,41.67,Materi 2: Perkalian Bersusun
Siswa_Gen_78,Kelas 3,A,B,C,D,A,C,A,D,A,B,C,D,A,A,C,D,A,B,B,D,B,A,D,A,100.0,50.0,100.0,75.0,75.0,0.0,66.67,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_79,Kelas 3,A,B,D,A,A,D,C,D,B,B,C,B,A,B,C,C,D,A,C,D,A,A,C,D,50.0,75.0,50.0,75.0,50.0,75.0,62.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_80,Kelas 3,A,B,B,D,A,D,B,A,A,B,C,D,C,B,B,D,C,D,B,D,A,D,C,D,75.0,25.0,100.0,50.0,25.0,75.0,58.33,Materi 2: Perkalian Bersusun
Siswa_Gen_81,Kelas 3,A,B,C,C,A,B,C,D,A,B,B,D,A,B,D,D,A,B,C,D,A,C,C,D,75.0,100.0,75.0,75.0,100.0,75.0,83.33,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_82,Kelas 3,B,C,D,B,C,C,C,D,A,D,C,A,D,C,C,A,A,C,D,D,D,B,A,D,0.0,50.0,50.0,25.0,50.0,50.0,37.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_83,Kelas 3,A,B,C,D,A,B,C,D,A,B,B,D,A,B,C,D,C,B,C,B,A,B,C,D,100.0,100.0,75.0,100.0,50.0,100.0,87.5,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_84,Kelas 3,D,D,C,C,C,C,C,D,C,C,D,C,A,A,A,D,A,B,C,D,B,D,B,A,25.0,50.0,0.0,50.0,100.0,0.0,37.5,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_85,Kelas 3,B,B,D,C,D,D,C,B,D,A,C,D,A,A,C,D,D,B,C,A,A,D,C,A,25.0,25.0,50.0,75.0,50.0,50.0,45.83,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_86,Kelas 3,A,B,C,D,A,D,C,A,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,B,100.0,50.0,100.0,100.0,100.0,75.0,87.5,Materi 2: Perkalian Bersusun
Siswa_Gen_87,Kelas 3,D,B,C,D,A,B,C,D,C,C,C,A,A,B,C,D,A,B,C,D,A,B,C,D,75.0,100.0,25.0,100.0,100.0,100.0,83.33,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_88,Kelas 3,B,B,B,A,A,C,C,D,B,B,A,B,B,A,C,B,C,D,C,D,A,A,C,D,25.0,75.0,25.0,25.0,50.0,75.0,45.83,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_89,Kelas 3,A,B,C,D,A,B,C,D,B,B,C,D,A,B,C,D,C,A,C,D,A,B,C,D,100.0,100.0,75.0,100.0,50.0,100.0,87.5,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_90,Kelas 3,A,D,C,D,A,B,D,D,C,A,D,D,A,C,C,C,B,B,C,D,D,B,D,C,75.0,75.0,25.0,50.0,75.0,25.0,54.17,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_91,Kelas 3,C,D,D,D,A,D,C,D,A,C,A,D,C,B,C,D,A,A,C,D,B,D,C,B,25.0,75.0,50.0,75.0,75.0,25.0,54.17,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_92,Kelas 3,A,B,C,D,A,B,A,D,A,B,C,D,A,B,C,D,A,B,D,B,A,A,D,D,100.0,75.0,100.0,100.0,50.0,50.0,79.17,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_93,Kelas 3,A,B,C,D,A,D,C,D,D,B,C,D,D,C,D,D,A,B,C,D,A,B,C,D,100.0,75.0,75.0,25.0,100.0,100.0,79.17,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_94,Kelas 3,A,C,C,D,A,B,D,D,C,C,B,C,C,D,D,C,D,B,B,D,A,B,B,D,75.0,75.0,0.0,0.0,50.0,75.0,45.83,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_95,Kelas 3,B,C,D,A,D,D,C,D,B,C,C,D,C,D,B,B,D,B,D,A,B,D,C,D,0.0,50.0,50.0,0.0,25.0,50.0,29.17,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_96,Kelas 3,B,B,C,D,C,D,B,B,A,B,A,C,A,D,D,B,A,B,C,C,A,C,C,C,75.0,0.0,50.0,25.0,75.0,50.0,45.83,Materi 2: Perkalian Bersusun
Siswa_Gen_97,Kelas 3,C,A,A,B,A,D,C,D,D,B,B,D,B,B,D,D,A,B,C,D,A,B,C,D,0.0,75.0,50.0,50.0,100.0,100.0,62.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_98,Kelas 3,A,B,C,A,C,D,B,C,C,B,D,D,C,A,C,D,A,B,A,D,D,A,C,B,75.0,0.0,50.0,50.0,75.0,25.0,45.83,Materi 2: Perkalian Bersusun
Siswa_Gen_99,Kelas 3,B,B,D,D,A,B,A,D,A,A,C,C,C,B,B,D,A,B,C,D,D,B,A,D,50.0,75.0,50.0,50.0,100.0,50.0,62.5,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_100,Kelas 3,D,B,C,C,A,B,B,D,A,B,C,D,A,B,A,D,A,D,C,D,A,A,A,B,50.0,75.0,100.0,75.0,75.0,25.0,66.67,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_101,Kelas 3,A,B,C,D,D,B,C,A,A,D,C,D,D,B,D,D,A,C,A,D,A,B,C,D,100.0,50.0,75.0,50.0,50.0,100.0,70.83,Materi 2: Perkalian Bersusun
Siswa_Gen_102,Kelas 3,A,B,A,A,A,B,C,D,A,B,C,D,B,B,C,D,D,A,C,A,B,D,C,A,50.0,100.0,100.0,75.0,25.0,25.0,62.5,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_103,Kelas 3,A,C,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,D,D,75.0,100.0,100.0,100.0,100.0,75.0,91.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_104,Kelas 3,D,B,C,D,B,B,D,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,75.0,50.0,100.0,100.0,100.0,100.0,87.5,Materi 2: Perkalian Bersusun
Siswa_Gen_105,Kelas 3,A,B,C,D,A,B,C,D,C,C,D,B,A,B,C,D,A,B,C,D,A,B,C,D,100.0,100.0,0.0,100.0,100.0,100.0,83.33,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_106,Kelas 3,A,B,D,D,A,B,C,D,A,B,C,D,D,B,A,C,A,B,C,D,A,B,C,D,75.0,100.0,100.0,25.0,100.0,100.0,83.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_107,Kelas 3,A,D,D,C,A,B,C,D,B,B,C,D,A,B,D,D,B,B,A,D,A,B,C,B,25.0,100.0,75.0,75.0,50.0,75.0,66.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_108,Kelas 3,C,D,C,C,C,C,C,D,C,C,A,B,B,B,C,D,A,A,C,D,C,A,A,B,25.0,50.0,0.0,75.0,75.0,0.0,37.5,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_109,Kelas 3,C,C,B,D,C,A,D,C,C,C,A,B,A,D,B,D,A,C,C,B,A,C,C,D,25.0,0.0,0.0,50.0,50.0,75.0,33.33,Materi 2: Perkalian Bersusun
Siswa_Gen_110,Kelas 3,A,A,C,C,B,C,A,A,D,A,C,D,A,B,B,C,C,B,C,C,A,C,A,A,50.0,0.0,50.0,50.0,50.0,25.0,37.5,Materi 2: Perkalian Bersusun
Siswa_Gen_111,Kelas 3,B,B,C,D,A,B,C,C,B,D,A,C,A,B,C,D,A,B,C,A,A,B,C,D,75.0,75.0,0.0,100.0,75.0,100.0,70.83,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_112,Kelas 3,C,B,C,B,C,D,C,D,D,B,D,C,A,A,C,C,C,A,C,A,A,C,C,D,50.0,50.0,25.0,50.0,25.0,75.0,45.83,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_113,Kelas 3,C,B,C,D,A,B,B,B,A,B,C,C,A,B,C,D,C,C,B,A,A,A,C,B,75.0,50.0,75.0,100.0,0.0,50.0,58.33,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_114,Kelas 3,A,B,D,D,D,B,C,D,A,B,C,A,A,B,C,D,A,B,C,D,C,B,C,D,75.0,75.0,75.0,100.0,100.0,75.0,83.33,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_115,Kelas 3,A,B,C,A,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,D,C,D,75.0,100.0,100.0,100.0,100.0,75.0,91.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_116,Kelas 3,D,A,C,B,A,B,D,D,A,B,C,D,A,B,C,D,B,D,C,D,A,B,C,A,25.0,75.0,100.0,100.0,50.0,75.0,70.83,Materi 1: Perkalian dengan 0 dan 10
